name,eircode,latitude,longitude,postal_town
Cornerpark,D22,53.30178,-6.49577,Dublin
Cornstown,A84,53.52543,-6.38559,Ashbourne
Corrageen,D24,53.25197,-6.36159,Dublin
Corrstown,K67,53.45748,-6.3206,Swords
Cottrelstown,A45,53.53895,-6.3369,Oldtown
Coultry,K67,53.42178,-6.26553,Swords
Court,D15,53.43763,-6.38977,Dublin
Courtlough,K32,53.56487,-6.20061,Balbriggan
Cremona,K67,53.4501,-6.22881,Swords
Crockaunadreenagh,D24,53.25855,-6.47821,Dublin
Crockshane,D24,53.27255,-6.48542,Dublin
Crooksling,D24,53.25966,-6.44615,Dublin
Crowscastle,K67,53.44783,-6.22187,Swords
Cruagh,D16,53.24177,-6.30653,Dublin
Cruiserath,D15,53.41671,-6.37825,Dublin
Crumlin,D12,53.31366,-6.31579,Dublin
Crumlin,D12,53.32848,-6.30509,Dublin
Cullen Hill,K32,53.58071,-6.19459,Balbriggan
Cunard,D24,53.2257,-6.33521,Dublin
Curragh East,K32,53.58173,-6.24654,Balbriggan
Curragh West,K32,53.57041,-6.31966,Balbriggan
Dalkey,A96,53.27547,-6.11564,Glenageary
Dalkey,A96,53.27837,-6.10729,Glenageary
Dalkey Commons,A96,53.27254,-6.09969,Glenageary
Dalkey Island,A96,53.27162,-6.08486,Glenageary
Damastown,D15,53.41351,-6.42793,Dublin
Damastown,K32,53.55508,-6.29511,Balbriggan
Darcystown,K32,53.57976,-6.18412,Balbriggan
Dardistown,K67,53.41364,-6.23766,Swords
Darndale,D17,53.39831,-6.19231,Dublin
Deanestown,K67,53.50051,-6.22517,Swords
Deanestown,D15,53.39615,-6.37189,Dublin
Deanestown,A41,53.4995,-6.21531,Ballyboughal
Deansgrange,D18,53.27495,-6.17287,Dublin
Deansgrange,A94,53.28612,-6.16737,Blackrock
Deansrath,D22,53.32185,-6.42304,Dublin
Dellabrown,K34,53.55305,-6.11425,Skerries
Dennis' Fields,K32,53.57504,-6.19195,Balbriggan
Dermotstown,K32,53.58856,-6.22989,Balbriggan
Diswellstown,D15,53.36971,-6.39457,Dublin
Doddsborough,K78,53.34857,-6.46476,Lucan
Dollards,K67,53.49033,-6.24817,Swords
Dollymount,D03,53.36598,-6.17425,Dublin
Dolphins Barn,D08,53.33354,-6.29147,Dublin
Donabate,K36,53.48138,-6.15697,Malahide
Donabate,K36,53.48534,-6.15046,Malahide
Donaghmede,D13,53.39864,-6.16165,Dublin
Donnybrook,D04,53.31926,-6.23202,Dublin
Donnycarney,D05,53.37551,-6.21878,Dublin
Doolagh,K32,53.60883,-6.27053,Balbriggan
Dooroge,A41,53.51309,-6.26195,Ballyboughal
Drimnagh,D12,53.3237,-6.34875,Dublin
Drimnagh,D12,53.32998,-6.32344,Dublin
Drinan,K67,53.44461,-6.20236,Swords
Drishoge,A45,53.50818,-6.30008,Oldtown
Dromcondra,D09,53.37062,-6.25376,Dublin
Drumanagh,K34,53.54016,-6.08334,Skerries
Drumlattery,K34,53.55606,-6.1145,Skerries
Drummans,K32,53.62609,-6.25115,Balbriggan
Drummartin,D14,53.28825,-6.23461,Dublin
Drumnigh,D13,53.41381,-6.16181,Dublin
Dubber,D11,53.41367,-6.30375,Dublin
Dublin,D01,53.34944,-6.26008,Dublin
Dublin 2,D02,53.34073,-6.25824,Dublin
Dunbro,K67,53.43158,-6.2831,Swords
Dundrum,D16,53.28664,-6.25083,Dublin
Dundrum,D14,53.28914,-6.24327,Dublin
Dunganstown,K45,53.51963,-6.18944,Lusk
Dunleary,A96,53.29279,-6.14194,Glenageary
Dunmucky,K67,53.47033,-6.34867,Swords
Dunsink,D15,53.3853,-6.349,Dublin
Dunsoghly,K67,53.4293,-6.32195,Swords
Edenmore,D05,53.39069,-6.18393,Dublin
Edmondstown,D16,53.27468,-6.29669,Dublin
Edmondstown,D16,53.27775,-6.28835,Dublin
Effelstown,K45,53.52234,-6.14643,Lusk
Ellistown,A41,53.53277,-6.26464,Ballyboughal
Esker North,K78,53.35336,-6.43788,Lucan
Esker South,K78,53.34304,-6.43744,Lucan
Fairview,D22,53.31899,-6.40998,Dublin
Farmersvale,W91,53.25474,-6.53159,Naas
Farranboley,D14,53.30497,-6.2455,Dublin
Feltrim,K67,53.43571,-6.19468,Swords
Fieldstown,K67,53.49775,-6.3264,Swords
Finglas,D11,53.39032,-6.29841,Dublin
Finnstown,K78,53.33945,-6.46082,Lucan
Firhouse,D24,53.28173,-6.34215,Dublin
Flacketstown,K32,53.56861,-6.30174,Balbriggan
Flemingtown,K32,53.61732,-6.21799,Balbriggan
Folkstown Little,K32,53.59745,-6.21438,Balbriggan
Folly,A45,53.52445,-6.36491,Oldtown
Fonthill,D20,53.3593,-6.4028,Dublin
Forrestfields,K67,53.45137,-6.23476,Swords
Forrest Great,K67,53.44257,-6.26191,Swords
Forrest Little,K67,53.43732,-6.24712,Swords
Fortunestown,D24,53.28372,-6.43112,Dublin
Fortyacres,K32,53.60541,-6.26617,Balbriggan
Fosterstown North,K67,53.44585,-6.23877,Swords
Fosterstown South,K67,53.44021,-6.23884,Swords
Fox-And-Geese,D22,53.32108,-6.35837,Dublin
Fox-And-Geese Common,D12,53.32485,-6.3618,Dublin
Fox & Geese,D12,53.32756,-6.3698,Dublin
Foxrock,D18,53.26858,-6.18299,Dublin
Foxrock,D18,53.27378,-6.17322,Dublin
Friarland,D14,53.30132,-6.23788,Dublin
Friarstown Lower,D24,53.25477,-6.35807,Dublin
Friarstown Upper,D24,53.25884,-6.36653,Dublin
Gallanstown,D12,53.32821,-6.37196,Dublin
Gallanstown,D15,53.43756,-6.38038,Dublin
Galloping Green North,A94,53.28232,-6.18856,Blackrock
Galloping Green South,A94,53.27525,-6.19505,Blackrock
Gardenershill,K32,53.59668,-6.18805,Balbriggan
Garranswood,D22,53.30749,-6.38134,Dublin
Garristown,A42,53.56633,-6.38971,Garristown
Garristown,A42,53.56687,-6.38356,Garristown
Gerrardstown,A41,53.54037,-6.27427,Ballyboughal
Gibbons,D24,53.27756,-6.42017,Dublin
Gibbonsmoor,K32,53.5849,-6.19664,Balbriggan
Gibraltar,D22,53.3138,-6.40765,Dublin
Glasnevin,D11,53.38283,-6.27629,Dublin
Glasnevin North,D11,53.39065,-6.27935,Dublin
Glassamucky,D24,53.24612,-6.36619,Dublin
Glassamucky Brakes,D24,53.22429,-6.32696,Dublin
Glassamucky Mountain,D24,53.22531,-6.31733,Dublin
Glassavullaun,D24,53.21818,-6.36526,Dublin
Glasthule,A96,53.28734,-6.12736,Glenageary
Glasthule,A96,53.28792,-6.12603,Glenageary
Glebe,D22,53.30329,-6.50661,Dublin
Glebe,A84,53.5333,-6.40005,Ashbourne
Glebe,K78,53.3497,-6.43694,Lucan
Glebe,A45,53.53056,-6.32439,Oldtown
Glebe,K67,53.47794,-6.32421,Swords
Glebe,A94,53.2838,-6.1771,Blackrock
Glebe,D18,53.24226,-6.20305,Dublin
Glebe East,A42,53.57444,-6.35334,Garristown
Glebe North,K32,53.59853,-6.18631,Balbriggan
Glebe South,K32,53.5842,-6.19369,Balbriggan
Glebe West,A42,53.56787,-6.40303,Garristown
Glenagarey,A96,53.28261,-6.13208,Glenageary
Glenamuck North,D18,53.24553,-6.19609,Dublin
Glenamuck South,D18,53.23932,-6.19112,Dublin
Glenaraneen,D24,53.2432,-6.46086,Dublin
Glencullen,D18,53.21816,-6.22695,Dublin
Glencullen,D18,53.22246,-6.21614,Dublin
Glencullen Mountain,D18,53.21233,-6.24613,Dublin
Glendoo,D16,53.22479,-6.28813,Dublin
Goatstown,D14,53.29058,-6.22757,Dublin
Goddamendy,D15,53.41703,-6.36556,Dublin
Gollierstown,K78,53.33047,-6.47617,Lucan
Gormanston Demesne,K32,53.63147,-6.25057,Balbriggan
Gortlum,D24,53.23742,-6.44648,Dublin
Gracedieu,A41,53.50801,-6.22472,Ballyboughal
Grallagh,A42,53.55326,-6.3339,Garristown
Grange,K32,53.60973,-6.24622,Balbriggan
Grange,A41,53.51841,-6.27187,Ballyboughal
Grange,K36,53.43197,-6.15616,Malahide
Grange,D22,53.32788,-6.45029,Dublin
Grange,D11,53.40881,-6.3443,Dublin
Grange,K34,53.57134,-6.15347,Skerries
Greatcommon,K45,53.53655,-6.16084,Lusk
Greenfields,K67,53.46157,-6.20654,Swords
Greenhills,D12,53.31229,-6.33639,Dublin
Greenhills,D12,53.31335,-6.34136,Dublin
Greenoge,D24,53.29498,-6.47846,Dublin
Greenwood,K67,53.43037,-6.19644,Swords
Hacketstown,K34,53.56246,-6.11553,Skerries
Hackettsland,A96,53.2462,-6.12004,Glenageary
Hampton Demesne,K32,53.59446,-6.17511,Balbriggan
Hansfield,D15,53.3936,-6.44455,Dublin
Harolds Cross,D6W,53.32647,-6.27794,Dublin
Haroldsgrange,D16,53.2816,-6.28213,Dublin
Harristown,K67,53.42254,-6.2953,Swords
Hartstown,D15,53.39404,-6.42203,Dublin
Haystown,K45,53.53331,-6.12317,Lusk
Haystown,K32,53.5904,-6.24059,Balbriggan
Hazardstown,K32,53.59063,-6.26842,Balbriggan
Hazelbrook,K36,53.42868,-6.15927,Malahide
Hazelhatch,W23,53.3222,-6.51895,Maynooth
Heathtown,K34,53.55143,-6.16297,Skerries
Hedgestown,K45,53.55741,-6.21387,Lusk
Hermitage,K78,53.3617,-6.41419,Lucan
Highdownhill,D22,53.28928,-6.51131,Dublin
Hilltown,K67,53.45346,-6.24505,Swords
Hollystown,D15,53.42858,-6.38206,Dublin
Hollywood,D15,53.43081,-6.37318,Dublin
Hollywood Great,A41,53.55738,-6.27064,Ballyboughal
Hollywood Little,A41,53.54823,-6.27162,Ballyboughal
Hollywoodrath,D15,53.42462,-6.37304,Dublin
Holmpatrick,K34,53.56394,-6.10142,Skerries
Holybanks,K67,53.47137,-6.22824,Swords
Honeypark,A96,53.28087,-6.14553,Glenageary
Horestown,K45,53.5283,-6.13523,Lusk
Howth,D13,53.37499,-6.07176,Dublin
Howth,D13,53.38585,-6.06469,Dublin
Howth Demesne,D13,53.38482,-6.09164,Dublin
Huntstown,D15,53.4029,-6.42469,Dublin
Huntstown,K67,53.42864,-6.26636,Swords
Hynespark,K32,53.5766,-6.19957,Balbriggan
Hynestown,K32,53.58137,-6.2813,Balbriggan
Hynestown,D22,53.31265,-6.50152,Dublin
Inch,K32,53.59068,-6.19592,Balbriggan
Inchicore,D08,53.33542,-6.32702,Dublin
Intake,A94,53.30705,-6.19047,Blackrock
Ireland's Eye,D13,53.40516,-6.06432,Dublin
Irishtown,D22,53.35012,-6.39325,Dublin
Irishtown,D11,53.44029,-6.37105,Dublin
Irishtown,K45,53.53173,-6.2299,Lusk
Irishtown,D04,53.33751,-6.21941,Dublin
Islandbridge,D08,53.34622,-6.30822,Dublin
Jamestown,D18,53.24881,-6.20494,Dublin
Jamestown,K67,53.48614,-6.22803,Swords
Jamestown,D16,53.25137,-6.31409,Dublin
Jamestown Little,D11,53.39985,-6.29684,Dublin
Jobstown,D24,53.28485,-6.40284,Dublin
Jobstown,D24,53.27606,-6.39478,Dublin
Johnstown,D11,53.4137,-6.32923,Dublin
Johnstown,D20,53.34835,-6.3744,Dublin
Johnstown,D18,53.22722,-6.17975,Dublin
Johnstown,A96,53.26851,-6.1489,Glenageary
Johnstown,W91,53.25795,-6.5158,Naas
Johnstown,K45,53.54154,-6.23067,Lusk
Jordanstown,D24,53.29918,-6.46991,Dublin
Jordanstown,K45,53.54689,-6.20269,Lusk
Jordanstown,A45,53.52705,-6.3517,Oldtown
Keatingspark,D24,53.27834,-6.49793,Dublin
Keeloges,D22,53.30957,-6.48913,Dublin
Kellystown,D15,53.38004,-6.4174,Dublin
Kerrymount,D18,53.26186,-6.18184,Dublin
Kilbarrack Lower,D13,53.38808,-6.1451,Dublin
Kilbarrack Upper,D05,53.39044,-6.15578,Dublin
Kilbarrick,D05,53.38374,-6.15255,Dublin
Kilbogget,A96,53.26034,-6.14024,Glenageary
Kilbride,D22,53.3074,-6.45064,Dublin
Kilcarbery,D22,53.31457,-6.43785,Dublin
Kilcoskan,D11,53.46545,-6.3342,Dublin
Kilcrea,K36,53.47268,-6.16455,Malahide
Kildonan,D11,53.40298,-6.3218,Dublin
Kilgobbin,D18,53.25706,-6.21728,Dublin
Killakee,D16,53.24432,-6.32387,Dublin
Killalane,K34,53.56901,-6.16784,Skerries
Killamonan,D11,53.42976,-6.36388,Dublin
Killeek,K67,53.451,-6.27885,Swords
Killeen,A45,53.50886,-6.30859,Oldtown
Killester,D03,53.37156,-6.20263,Dublin
Killinardan,D24,53.26714,-6.39822,Dublin
Killiney,A96,53.25487,-6.12251,Glenageary
Killiney,A96,53.26501,-6.11496,Glenageary
Killininny,D24,53.27433,-6.35546,Dublin
Kill Of The Grange,A94,53.27968,-6.16148,Blackrock
Kill Of The Grange,A94,53.27966,-6.16208,Blackrock
Killossery,K67,53.48243,-6.31091,Swords
Killougher,K32,53.59001,-6.25471,Balbriggan
Kilmacree,D11,53.43838,-6.31689,Dublin
Kilmactalway,D22,53.30849,-6.46611,Dublin
Kilmacud,A94,53.28457,-6.20935,Blackrock
Kilmacud East,A94,53.28339,-6.21174,Blackrock
Kilmacud West,D14,53.28644,-6.22345,Dublin
Kilmahuddrick,D22,53.32689,-6.43155,Dublin
Kilmainham,K32,53.5839,-6.15594,Balbriggan
Kilmainham,D08,53.3406,-6.30769,Dublin
Kilmartin,D15,53.43192,-6.40717,Dublin
Kilmashogue,D16,53.25301,-6.27596,Dublin
Kilmore,D05,53.39298,-6.22056,Dublin
Kilmore Big,D17,53.40391,-6.23419,Dublin
Kilnamanagh,D24,53.30674,-6.35715,Dublin
Kilnamanagh,D24,53.29801,-6.36068,Dublin
Kilreesk,K67,53.43726,-6.30706,Swords
Kilsallaghan,K67,53.47343,-6.32155,Swords
Kilsallaghan,K67,53.47588,-6.31906,Swords
Kilshane,D11,53.42364,-6.33882,Dublin
Kilsough North,K32,53.60023,-6.17377,Balbriggan
Kilsough South,K32,53.59567,-6.18012,Balbriggan
Kiltalown,D24,53.27149,-6.40605,Dublin
Kiltiernan,D18,53.23227,-6.20469,Dublin
Kiltiernan,D18,53.23596,-6.1938,Dublin
Kiltiernan Domain,D18,53.23909,-6.20743,Dublin
Kiltipper,D24,53.26476,-6.37567,Dublin
Kimmage,D12,53.31235,-6.29944,Dublin
Kimmage,D6W,53.30595,-6.30922,Dublin
Kingston,D18,53.23218,-6.18312,Dublin
Kingstown,D16,53.2684,-6.24969,Dublin
Kingstown,K67,53.44125,-6.29273,Swords
Kingstown,K45,53.52612,-6.14459,Lusk
Kingswood,D24,53.30314,-6.41392,Dublin
Kinoud,A41,53.54648,-6.2593,Ballyboughal
Kinsaley,K36,53.42798,-6.17012,Malahide
Kinsaley,D17,53.42451,-6.17636,Dublin
Kishoge,K78,53.335,-6.43168,Lucan
Kitchenstown,K32,53.57951,-6.25912,Balbriggan
Knightstown,A41,53.54486,-6.2427,Ballyboughal
Knock,K32,53.58101,-6.20534,Balbriggan
Knockaneek,A84,53.52391,-6.36938,Ashbourne
Knockbrack,K32,53.57354,-6.24823,Balbriggan
Knocklyon,D24,53.28315,-6.33037,Dublin
Knocklyon,D16,53.28219,-6.31621,Dublin
Knockmitten,D22,53.32403,-6.37722,Dublin
Knocknagin,K32,53.62857,-6.22054,Balbriggan
Knocksedan,K67,53.4515,-6.26844,Swords
Lambay Island,K56,53.49057,-6.02262,Rush
Lane,K34,53.55783,-6.09496,Skerries
Lanestown,K36,53.48421,-6.19436,Malahide
Lansville,A94,53.28668,-6.16137,Blackrock
Laraghcon,K78,53.36443,-6.45113,Lucan
Laughanstown,D18,53.24579,-6.15824,Dublin
Laurestown,K67,53.45855,-6.30616,Swords
Laytown,K45,53.5448,-6.13065,Lusk
Leas,K67,53.47071,-6.28043,Swords
Leastown,A45,53.53787,-6.31074,Oldtown
Lecklintown,K32,53.57809,-6.27514,Balbriggan
Limekilnfarm,D12,53.30644,-6.33492,Dublin
Lispopple,K67,53.48989,-6.28668,Swords
Lissenhall Great,K67,53.47349,-6.20847,Swords
Lissenhall Little,K67,53.48097,-6.21129,Swords
Littlepace,D15,53.40552,-6.43375,Dublin
Loughbarn,K34,53.56282,-6.16483,Skerries
Lough Common,K45,53.52513,-6.1612,Lusk
Loughland,K34,53.562,-6.12611,Skerries
Loughlinstown,D18,53.25081,-6.1412,Dublin
Loughlinstown,A96,53.24457,-6.12133,Glenageary
Loughlinstown Commons,D18,53.24459,-6.13248,Dublin
Loughmain,K32,53.56744,-6.28489,Balbriggan
Loughshinny,K34,53.5484,-6.08562,Skerries
Loughtown Lower,D22,53.32054,-6.50457,Dublin
Loughtown Upper,D22,53.3213,-6.48848,Dublin
Lucan,K78,53.35721,-6.44986,Lucan
Lucan And Pettycannon,K78,53.35285,-6.45936,Lucan
Lucan Demesne,W23,53.36034,-6.47556,Maynooth
Lugg,D24,53.26089,-6.45781,Dublin
Lugmore,D24,53.265,-6.41265,Dublin
Lusk,K45,53.52428,-6.17825,Lusk
Lusk,K45,53.52633,-6.16588,Lusk
Mabestown,K36,53.44105,-6.17496,Malahide
Macetown Middle,D15,53.41569,-6.41321,Dublin
Macetown North,D15,53.41797,-6.4105,Dublin
Macetown South,D15,53.4132,-6.41082,Dublin
Magillstown,K67,53.49142,-6.23452,Swords
Mainscourt,A41,53.52235,-6.2543,Ballyboughal
Malahide,K36,53.44709,-6.15347,Malahide
Malahide,K36,53.45093,-6.15015,Malahide
Malahide Demesne,K36,53.44432,-6.16844,Malahide
Malheney,K34,53.5579,-6.18329,Skerries
Mallahow,K32,53.55883,-6.31345,Balbriggan
Mantua,K67,53.46232,-6.21042,Swords
Margaretstown,K34,53.57339,-6.1617,Skerries
Marino,D09,53.36952,-6.23044,Dublin
Marshallstown,K67,53.43878,-6.21352,Swords
Matt,K32,53.59262,-6.22256,Balbriggan
Maynetown,D13,53.41055,-6.14681,Dublin
Meakstown,D11,53.40571,-6.29928,Dublin
Merrion,A94,53.30014,-6.20014,Blackrock
Merrion,D04,53.3184,-6.21154,Dublin
Merryfalls,K67,53.4156,-6.28929,Swords
Middletown,K67,53.41927,-6.20659,Swords
Milestown,K32,53.62043,-6.26619,Balbriggan
Millhead,K67,53.43602,-6.29481,Swords
Milltown,D22,53.31933,-6.47345,Dublin
Milltown,D06,53.3106,-6.24805,Dublin
Miltonsfields,K67,53.45193,-6.22694,Swords
Milverton,K34,53.56788,-6.12922,Skerries
Milverton Demesne,K34,53.56975,-6.14413,Skerries
Mitchelstown,D15,53.41694,-6.35194,Dublin
Moneenalion Commons Lower,D22,53.30187,-6.42982,Dublin
Moneenalion Commons Upper,D22,53.29827,-6.44736,Dublin
Moneyatta Commons,D24,53.2771,-6.44381,Dublin
Monkstown,A96,53.28501,-6.14454,Glenageary
Monkstown,A94,53.2937,-6.15396,Blackrock
Monkstown Castlefarm,A94,53.2886,-6.15178,Blackrock
Monkstown Housefarm,A94,53.28995,-6.14982,Blackrock
Montpelier,A94,53.29429,-6.16759,Blackrock
Mooreenaruggan,D22,53.31096,-6.38831,Dublin
Mooretown,D15,53.42073,-6.35628,Dublin
Mooretown,K67,53.46546,-6.24837,Swords
Moortown,A45,53.51177,-6.32972,Oldtown
Mountambrose Great,K67,53.46555,-6.28377,Swords
Mountambrose Little,K67,53.46751,-6.2891,Swords
Mountanville,D14,53.29194,-6.22823,Dublin
Mountashton,A94,53.28923,-6.16206,Blackrock
Mountgorry,K67,53.45418,-6.20685,Swords
Mount Merrion,A94,53.29559,-6.2111,Blackrock
Mount Merrion,A94,53.29881,-6.21832,Blackrock
Mountmerrion South,A94,53.2887,-6.21482,Blackrock
Mountpelier,D24,53.25038,-6.33956,Dublin
Mountseskin,D24,53.24866,-6.43036,Dublin
Mountstuart,K67,53.47886,-6.29478,Swords
Mulchanstown,A94,53.27897,-6.20839,Blackrock
Mulhuddart,D15,53.40168,-6.39982,Dublin
Mullauns,K78,53.3284,-6.49617,Lucan
Murphystown,D18,53.26531,-6.21133,Dublin
Murragh,A45,53.52478,-6.28824,Oldtown
Nangor,D22,53.32157,-6.43613,Dublin
Naul,K32,53.58747,-6.28036,Balbriggan
Naul,K32,53.58563,-6.28942,Balbriggan
Neillstown,K78,53.33626,-6.41147,Lucan
Nevinstown East,K67,53.44109,-6.2222,Swords
Nevinstown West,K67,53.44413,-6.22806,Swords
Nevitt,K45,53.55219,-6.22702,Lusk
Newbarn,K67,53.48688,-6.32258,Swords
Newbridge Demesne,K36,53.48631,-6.17668,Malahide
Newcastle,D22,53.29982,-6.50103,Dublin
Newcastle Demesne,D22,53.29625,-6.52315,Dublin
Newcastle Farm,D22,53.30217,-6.52312,Dublin
Newcastle North,D22,53.30504,-6.51217,Dublin
Newcastle South,D22,53.29633,-6.50358,Dublin
Newhaggard,A42,53.56926,-6.41741,Garristown
Newhaggard,K45,53.50487,-6.18321,Lusk
Newlands,D22,53.31275,-6.38656,Dublin
Newlands Demesne,D24,53.30833,-6.39726,Dublin
Newpark,A94,53.27969,-6.18117,Blackrock
Newpark,D11,53.44686,-6.33377,Dublin
Newtown,D18,53.22998,-6.21831,Dublin
Newtown,D16,53.26496,-6.30474,Dublin
Newtown,A45,53.53669,-6.29924,Oldtown
Newtown,K67,53.47471,-6.22787,Swords
Newtown,A42,53.56002,-6.41272,Garristown
Newtown,K32,53.60186,-6.23387,Balbriggan
Newtown Blackrock,A94,53.29785,-6.17978,Blackrock
